ENSP00000000412	ENSG00000003056	M6PR	ENSDARP00000018076	ENSDARG00000018432	m6pr
ENSP00000345268	ENSG00000163812	ZDHHC3	ENSDARP00000076218	ENSDARG00000058830	zdhhc3b
ENSP00000345347	ENSG00000189403	HMGB1	ENSDARP00000129778	ENSDARG00000030479	hmgb1b
ENSP00000345361	ENSG00000136950	ARPC5L	ENSDARP00000061143	ENSDARG00000041720	arpc5la
ENSP00000345477	ENSG00000157350	ST3GAL2	ENSDARP00000157046	ENSDARG00000112898	st3gal2
ENSP00000345492	ENSG00000111252	SH2B3	ENSDARP00000121820	ENSDARG00000069958	sh2b3
ENSP00000345494	ENSG00000188313	PLSCR1	ENSDARP00000089774	ENSDARG00000069432	plscr3b
ENSP00000345571	ENSG00000101412	E2F1	ENSDARP00000137549	ENSDARG00000103868	e2f1
ENSP00000345575	ENSG00000148719	DNAJB12	ENSDARP00000057524	ENSDARG00000039363	dnajb12a
ENSP00000345656	ENSG00000101558	VAPA	ENSDARP00000151146	ENSDARG00000115862	vapal
ENSP00000345659	ENSG00000168748	CA7	ENSDARP00000066379	ENSDARG00000045139	ca7
ENSP00000345667	ENSG00000145103	ILDR1	ENSDARP00000059954	ENSDARG00000040910	ildr1b
ENSP00000345681	ENSG00000179348	GATA2	ENSDARP00000076855	ENSDARG00000059327	gata2a
ENSP00000345702	ENSG00000001167	NFYA	ENSDARP00000015851	ENSDARG00000001621	nfyal
ENSP00000345716	ENSG00000189134	NKAPL	ENSDARP00000001288	ENSDARG00000033450	nkap
ENSP00000345719	ENSG00000136827	TOR1A	ENSDARP00000122316	ENSDARG00000077950	tor1
ENSP00000345767	ENSG00000135299	ANKRD6	ENSDARP00000049062	ENSDARG00000029370	ankrd6b
ENSP00000345773	ENSG00000165626	BEND7	ENSDARP00000086527	ENSDARG00000110182	si:ch211-220f12.4
ENSP00000345837	ENSG00000162961	DPY30	ENSDARP00000017331	ENSDARG00000004427	dpy30
ENSP00000345848	ENSG00000136938	ANP32B	ENSDARP00000093277	ENSDARG00000023330	anp32b
ENSP00000345868	ENSG00000189433	GJB4	ENSDARP00000103616	ENSDARG00000075854	cx34.4
ENSP00000345895	ENSG00000093000	NUP50	ENSDARP00000017103	ENSDARG00000017454	nup50
ENSP00000345917	ENSG00000145220	LYAR	ENSDARP00000140940	ENSDARG00000098507	lyar
ENSP00000345974	ENSG00000132199	ENOSF1	ENSDARP00000055955	ENSDARG00000038359	enosf1
ENSP00000345984	ENSG00000056972	TRAF3IP2	ENSDARP00000128747	ENSDARG00000091734	traf3ip2l
ENSP00000345997	ENSG00000104936	DMPK	ENSDARP00000100713	ENSDARG00000074914	CU929346.1
ENSP00000346037	ENSG00000137818	RPLP1	ENSDARP00000033600	ENSDARG00000021864	rplp1
ENSP00000346065	ENSG00000180113	TDRD6	ENSDARP00000093281	ENSDARG00000070052	tdrd6
ENSP00000346088	ENSG00000116251	RPL22	ENSDARP00000111487	ENSDARG00000070437	rpl22
ENSP00000346127	ENSG00000021300	PLEKHB1	ENSDARP00000128812	ENSDARG00000063519	PLEKHB1
ENSP00000346130	ENSG00000198168	SVIP	ENSDARP00000129097	ENSDARG00000097236	si:ch73-147o17.1
ENSP00000346160	ENSG00000162999	DUSP19	ENSDARP00000142105	ENSDARG00000045200	dusp19b
ENSP00000346173	ENSG00000105379	ETFB	ENSDARP00000017410	ENSDARG00000009250	etfb
ENSP00000346196	ENSG00000160194	NDUFV3	ENSDARP00000140028	ENSDARG00000090389	ndufv3
ENSP00000346300	ENSG00000099942	CRKL	ENSDARP00000037263	ENSDARG00000028699	crkl
ENSP00000346335	ENSG00000119720	NRDE2	ENSDARP00000129284	ENSDARG00000074726	nrde2
ENSP00000346359	ENSG00000100578	KIAA0586	ENSDARP00000131742	ENSDARG00000097772	si:ch211-185a18.2
ENSP00000346378	ENSG00000113108	APBB3	ENSDARP00000070289	ENSDARG00000053771	apbb3
ENSP00000346437	ENSG00000197548	ATG7	ENSDARP00000134373	ENSDARG00000102893	atg7
ENSP00000346464	ENSG00000163159	VPS72	ENSDARP00000152294	ENSDARG00000088567	vps72b
ENSP00000346466	ENSG00000105875	WDR91	ENSDARP00000126101	ENSDARG00000015153	wdr91
ENSP00000346483	ENSG00000198171	DDRGK1	ENSDARP00000054056	ENSDARG00000037172	ddrgk1
ENSP00000346537	ENSG00000112562	SMOC2	ENSDARP00000108925	ENSDARG00000088157	smoc2
ENSP00000346550	ENSG00000197043	ANXA6	ENSDARP00000096118	ENSDARG00000013335	anxa6
ENSP00000346564	ENSG00000175274	TP53I11	ENSDARP00000122927	ENSDARG00000006025	tp53i11b
ENSP00000346577	ENSG00000154027	AK5	ENSDARP00000027924	ENSDARG00000012555	ak5
ENSP00000346634	ENSG00000054118	THRAP3	ENSDARP00000144710	ENSDARG00000101989	thrap3a
ENSP00000346693	ENSG00000197977	ELOVL2	ENSDARP00000066780	ENSDARG00000045414	elovl2
ENSP00000346725	ENSG00000100029	PES1	ENSDARP00000026992	ENSDARG00000018902	pes
ENSP00000346762	ENSG00000197157	SND1	ENSDARP00000040404	ENSDARG00000006766	snd1
ENSP00000346805	ENSG00000196431	CRYBA4	ENSDARP00000156225	ENSDARG00000024548	cryba4
ENSP00000346829	ENSG00000116729	WLS	ENSDARP00000016104	ENSDARG00000009534	wls
ENSP00000346879	ENSG00000136352	NKX2-1	ENSDARP00000025546	ENSDARG00000019835	nkx2.1
ENSP00000346927	ENSG00000243477	NAA80	ENSDARP00000101635	ENSDARG00000068590	naa80
ENSP00000346931	ENSG00000185127	C6orf120	ENSDARP00000014999	ENSDARG00000017337	C11H6orf120
ENSP00000346959	ENSG00000139974	SLC38A6	ENSDARP00000070951	ENSDARG00000054312	slc38a6
ENSP00000346964	ENSG00000164318	EGFLAM	ENSDARP00000132488	ENSDARG00000099008	EGFLAM
ENSP00000346986	ENSG00000095787	WAC	ENSDARP00000073355	ENSDARG00000012577	waca
ENSP00000346990	ENSG00000168079	SCARA5	ENSDARP00000126688	ENSDARG00000010425	scara5
ENSP00000347041	ENSG00000122176	FMOD	ENSDARP00000119637	ENSDARG00000010294	fmodb
ENSP00000347170	ENSG00000140398	NEIL1	ENSDARP00000017787	ENSDARG00000018061	neil1
ENSP00000347184	ENSG00000197386	HTT	ENSDARP00000069263	ENSDARG00000052866	htt
ENSP00000347193	ENSG00000179454	KLHL28	ENSDARP00000138406	ENSDARG00000101676	KLHL28
ENSP00000347197	ENSG00000197405	C5AR1	ENSDARP00000040270	ENSDARG00000031749	C3AR1
ENSP00000347206	ENSG00000197858	GPAA1	ENSDARP00000104378	ENSDARG00000074571	gpaa1
ENSP00000347213	ENSG00000054179	ENTPD2	ENSDARP00000051433	ENSDARG00000035506	entpd2a.1
ENSP00000347224	ENSG00000159592	GPBP1L1	ENSDARP00000134071	ENSDARG00000075569	gpbp1l1
ENSP00000347232	ENSG00000197299	BLM	ENSDARP00000153051	ENSDARG00000077089	blm
ENSP00000347277	ENSG00000172590	MRPL52	ENSDARP00000155446	ENSDARG00000090568	mrpl52
ENSP00000347322	ENSG00000198663	C6orf89	ENSDARP00000096095	ENSDARG00000078301	zgc:162255
ENSP00000347324	ENSG00000174099	MSRB3	ENSDARP00000122154	ENSDARG00000045658	msrb3
ENSP00000347345	ENSG00000100413	POLR3H	ENSDARP00000138726	ENSDARG00000102590	polr3h
ENSP00000347379	ENSG00000197822	OCLN	ENSDARP00000010183	ENSDARG00000005108	oclna
ENSP00000347433	ENSG00000154856	APCDD1	ENSDARP00000139662	ENSDARG00000098203	APCDD1
ENSP00000347498	ENSG00000166140	ZFYVE19	ENSDARP00000002470	ENSDARG00000003642	zfyve19
ENSP00000347532	ENSG00000187164	SHTN1	ENSDARP00000058026	ENSDARG00000039697	shtn1
ENSP00000347538	ENSG00000103528	SYT17	ENSDARP00000080338	ENSDARG00000060741	syt17
ENSP00000347548	ENSG00000187147	RNF220	ENSDARP00000116172	ENSDARG00000060929	rnf220a
ENSP00000347586	ENSG00000198624	CCDC69	ENSDARP00000152039	ENSDARG00000111091	FO082779.1
ENSP00000347626	ENSG00000015676	NUDCD3	ENSDARP00000139649	ENSDARG00000098361	nudcd3
ENSP00000347646	ENSG00000177732	SOX12	ENSDARP00000115489	ENSDARG00000025847	sox12
ENSP00000347648	ENSG00000243943	ZNF512	ENSDARP00000120545	ENSDARG00000041910	znf512
ENSP00000347649	ENSG00000141696	P3H4	ENSDARP00000136982	ENSDARG00000104089	p3h4
ENSP00000347730	ENSG00000198597	ZNF536	ENSDARP00000130333	ENSDARG00000103648	znf536
ENSP00000347754	ENSG00000166736	HTR3A	ENSDARP00000135876	ENSDARG00000089212	htr3a
ENSP00000347836	ENSG00000186591	UBE2H	ENSDARP00000107407	ENSDARG00000000019	ube2h
ENSP00000347847	ENSG00000196588	MRTFA	ENSDARP00000127385	ENSDARG00000076229	mrtfab
ENSP00000347906	ENSG00000160310	PRMT2	ENSDARP00000086597	ENSDARG00000063212	prmt2
ENSP00000347942	ENSG00000165731	RET	ENSDARP00000072093	ENSDARG00000055305	ret
ENSP00000347959	ENSG00000125676	THOC2	ENSDARP00000097404	ENSDARG00000037503	thoc2
ENSP00000348010	ENSG00000185246	PRPF39	ENSDARP00000139799	ENSDARG00000100209	prpf39
ENSP00000348019	ENSG00000119899	SLC17A5	ENSDARP00000113259	ENSDARG00000055190	slc17a5
ENSP00000348020	ENSG00000119684	MLH3	ENSDARP00000120332	ENSDARG00000056334	mlh3
ENSP00000348043	ENSG00000172731	LRRC20	ENSDARP00000150301	ENSDARG00000105018	lrrc20
ENSP00000348089	ENSG00000225830	ERCC6	ENSDARP00000119156	ENSDARG00000075612	ercc6
ENSP00000348099	ENSG00000196923	PDLIM7	ENSDARP00000140242	ENSDARG00000103854	pdlim7
ENSP00000348108	ENSG00000131773	KHDRBS3	ENSDARP00000135217	ENSDARG00000101020	KHDRBS3
ENSP00000348111	ENSG00000090097	PCBP4	ENSDARP00000118901	ENSDARG00000024276	pcbp4
ENSP00000348132	ENSG00000196335	STK31	ENSDARP00000073251	ENSDARG00000056339	stk31
ENSP00000348161	ENSG00000173890	GPR160	ENSDARP00000056518	ENSDARG00000038700	gpr160
ENSP00000348168	ENSG00000197265	GTF2E2	ENSDARP00000144651	ENSDARG00000012672	gtf2e2
ENSP00000348206	ENSG00000101166	PRELID3B	ENSDARP00000020101	ENSDARG00000009505	prelid3b
ENSP00000348211	ENSG00000164209	SLC25A46	ENSDARP00000050965	ENSDARG00000035181	slc25a46
ENSP00000348273	ENSG00000197971	MBP	ENSDARP00000124731	ENSDARG00000089413	mbpb
ENSP00000348299	ENSG00000204977	TRIM13	ENSDARP00000013495	ENSDARG00000010010	trim13
ENSP00000348308	ENSG00000189409	MMP23B	ENSDARP00000063241	ENSDARG00000043079	MMP23B
ENSP00000348316	ENSG00000189159	JPT1	ENSDARP00000140837	ENSDARG00000099387	jpt1a
ENSP00000348394	ENSG00000020129	NCDN	ENSDARP00000134745	ENSDARG00000098544	ncdn
ENSP00000348395	ENSG00000215440	NPEPL1	ENSDARP00000019981	ENSDARG00000012871	npepl1
ENSP00000348425	ENSG00000166035	LIPC	ENSDARP00000069990	ENSDARG00000053476	lipca
ENSP00000348440	ENSG00000139531	SUOX	ENSDARP00000135810	ENSDARG00000091574	suox
ENSP00000348442	ENSG00000197170	PSMD12	ENSDARP00000106592	ENSDARG00000052377	psmd12
ENSP00000348455	ENSG00000198382	UVRAG	ENSDARP00000111856	ENSDARG00000023815	uvrag
ENSP00000348459	ENSG00000153086	ACMSD	ENSDARP00000114101	ENSDARG00000062549	acmsd
ENSP00000348461	ENSG00000136238	RAC1	ENSDARP00000096950	ENSDARG00000074849	rac1a
ENSP00000348472	ENSG00000168297	PXK	ENSDARP00000086537	ENSDARG00000063195	pxk
ENSP00000348510	ENSG00000077235	GTF3C1	ENSDARP00000132798	ENSDARG00000099619	CABZ01083166.1
ENSP00000348527	ENSG00000120334	CENPL	ENSDARP00000056666	ENSDARG00000038802	cenpl
ENSP00000348538	ENSG00000132819	RBM38	ENSDARP00000076202	ENSDARG00000058818	rbm38
ENSP00000348564	ENSG00000140326	CDAN1	ENSDARP00000124014	ENSDARG00000042261	cdan1
ENSP00000348596	ENSG00000198301	SDAD1	ENSDARP00000142023	ENSDARG00000105117	sdad1
ENSP00000348602	ENSG00000078053	AMPH	ENSDARP00000006811	ENSDARG00000007663	amph
ENSP00000348632	ENSG00000125826	RBCK1	ENSDARP00000047443	ENSDARG00000031954	rbck1
ENSP00000348708	ENSG00000151461	UPF2	ENSDARP00000154595	ENSDARG00000111388	CABZ01068469.1
ENSP00000348714	ENSG00000119682	AREL1	ENSDARP00000149062	ENSDARG00000100359	AREL1
ENSP00000348722	ENSG00000091127	PUS7	ENSDARP00000133410	ENSDARG00000031774	pus7
ENSP00000348732	ENSG00000109794	FAM149A	ENSDARP00000098160	ENSDARG00000073709	fam149a
ENSP00000348752	ENSG00000160991	ORAI2	ENSDARP00000121457	ENSDARG00000035148	orai2
ENSP00000348757	ENSG00000198003	ODAD3	ENSDARP00000086061	ENSDARG00000062978	ccdc151
ENSP00000348769	ENSG00000177479	ARIH2	ENSDARP00000011198	ENSDARG00000012848	arih2
ENSP00000348775	ENSG00000087008	ACOX3	ENSDARP00000056744	ENSDARG00000038865	acox3
ENSP00000348786	ENSG00000116473	RAP1A	ENSDARP00000116523	ENSDARG00000012553	rap1aa
ENSP00000348815	ENSG00000198331	HYLS1	ENSDARP00000133882	ENSDARG00000098623	si:dkey-23f9.4
ENSP00000348838	ENSG00000175063	UBE2C	ENSDARP00000146732	ENSDARG00000114670	ube2c
ENSP00000348849	ENSG00000197728	RPS26	ENSDARP00000111782	ENSDARG00000030408	rps26l
ENSP00000348880	ENSG00000083123	BCKDHB	ENSDARP00000157432	ENSDARG00000014676	bckdhb
ENSP00000348886	ENSG00000165283	STOML2	ENSDARP00000141850	ENSDARG00000103135	stoml2
ENSP00000348888	ENSG00000162896	PIGR	ENSDARP00000141970	ENSDARG00000101890	pigr
ENSP00000348931	ENSG00000164434	FABP7	ENSDARP00000018865	ENSDARG00000007697	fabp7a
ENSP00000348933	ENSG00000147419	CCDC25	ENSDARP00000030117	ENSDARG00000021753	ccdc25
ENSP00000348936	ENSG00000197980	LEKR1	ENSDARP00000135273	ENSDARG00000100141	CR626874.1
ENSP00000348984	ENSG00000159140	SON	ENSDARP00000154515	ENSDARG00000114730	CABZ01113192.1
ENSP00000349016	ENSG00000142655	PEX14	ENSDARP00000113910	ENSDARG00000028322	pex14
ENSP00000349052	ENSG00000116885	OSCP1	ENSDARP00000138083	ENSDARG00000101888	OSCP1
ENSP00000349087	ENSG00000182087	TMEM259	ENSDARP00000079593	ENSDARG00000060442	tmem259
ENSP00000349124	ENSG00000163605	PPP4R2	ENSDARP00000036492	ENSDARG00000026540	ppp4r2a
ENSP00000349142	ENSG00000165629	ATP5F1C	ENSDARP00000066929	ENSDARG00000045514	atp5f1c
ENSP00000349156	ENSG00000196470	SIAH1	ENSDARP00000137095	ENSDARG00000030871	siah1
ENSP00000349205	ENSG00000196455	PIK3R4	ENSDARP00000079663	ENSDARG00000060469	pik3r4
ENSP00000349252	ENSG00000005844	ITGAL	ENSDARP00000133024	ENSDARG00000098899	zmp:0000001082
ENSP00000349305	ENSG00000144674	GOLGA4	ENSDARP00000156940	ENSDARG00000075331	golga4
ENSP00000349356	ENSG00000132436	FIGNL1	ENSDARP00000117905	ENSDARG00000016427	fignl1
ENSP00000349358	ENSG00000133641	C12orf29	ENSDARP00000067304	ENSDARG00000045785	C25H12orf29
ENSP00000349359	ENSG00000122122	SASH3	ENSDARP00000008665	ENSDARG00000016541	sash3
ENSP00000349396	ENSG00000119688	ABCD4	ENSDARP00000110201	ENSDARG00000061770	abcd4
ENSP00000349410	ENSG00000115053	NCL	ENSDARP00000013803	ENSDARG00000002710	ncl
ENSP00000349437	ENSG00000197081	IGF2R	ENSDARP00000061100	ENSDARG00000006094	igf2r
ENSP00000349439	ENSG00000153066	TXNDC11	ENSDARP00000137002	ENSDARG00000101291	txndc11
ENSP00000349446	ENSG00000118520	ARG1	ENSDARP00000097045	ENSDARG00000057429	arg1
ENSP00000349503	ENSG00000198081	ZBTB14	ENSDARP00000141581	ENSDARG00000098273	zbtb14
ENSP00000349541	ENSG00000177469	CAVIN1	ENSDARP00000076902	ENSDARG00000059362	cavin1b
ENSP00000349543	ENSG00000164751	PEX2	ENSDARP00000123161	ENSDARG00000062421	pex2
ENSP00000349547	ENSG00000068028	RASSF1	ENSDARP00000115000	ENSDARG00000004840	rassf1
ENSP00000349568	ENSG00000197748	CFAP43	ENSDARP00000123525	ENSDARG00000001825	cfap43
ENSP00000349576	ENSG00000129187	DCTD	ENSDARP00000053762	ENSDARG00000036990	dctd
ENSP00000349640	ENSG00000187778	MCRS1	ENSDARP00000023460	ENSDARG00000020840	mcrs1
ENSP00000349658	ENSG00000196236	XPNPEP3	ENSDARP00000050244	ENSDARG00000007916	xpnpep3
ENSP00000349677	ENSG00000196104	SPOCK3	ENSDARP00000135664	ENSDARG00000070266	spock3
ENSP00000349687	ENSG00000196743	GM2A	ENSDARP00000106218	ENSDARG00000088439	gm2a
ENSP00000349689	ENSG00000188706	ZDHHC9	ENSDARP00000079770	ENSDARG00000060515	zdhhc9
ENSP00000349699	ENSG00000157502	PWWP3B	ENSDARP00000113968	ENSDARG00000060395	si:dkey-57k2.7
ENSP00000349785	ENSG00000197769	MAP1LC3C	ENSDARP00000131293	ENSDARG00000100528	map1lc3c
ENSP00000349790	ENSG00000112280	COL9A1	ENSDARP00000156366	ENSDARG00000115115	col9a1b
ENSP00000349805	ENSG00000197852	INKA2	ENSDARP00000141219	ENSDARG00000073900	inka2
ENSP00000349874	ENSG00000166321	NUDT13	ENSDARP00000066444	ENSDARG00000057417	nudt13
ENSP00000349877	ENSG00000105726	ATP13A1	ENSDARP00000058957	ENSDARG00000029931	atp13a1
ENSP00000349923	ENSG00000196976	LAGE3	ENSDARP00000150674	ENSDARG00000116344	CABZ01063556.1
ENSP00000349929	ENSG00000165689	ENTR1	ENSDARP00000139942	ENSDARG00000095515	entr1
ENSP00000349961	ENSG00000113810	SMC4	ENSDARP00000108838	ENSDARG00000038882	smc4
ENSP00000349977	ENSG00000013364	MVP	ENSDARP00000112736	ENSDARG00000021242	mvp
ENSP00000350011	ENSG00000146540	C7orf50	ENSDARP00000066555	ENSDARG00000045254	zmp:0000000624
ENSP00000350075	ENSG00000242498	ARPIN	ENSDARP00000091551	ENSDARG00000041085	arpin
ENSP00000350078	ENSG00000196843	ARID5A	ENSDARP00000102999	ENSDARG00000077120	arid5a
ENSP00000350098	ENSG00000167272	POP5	ENSDARP00000069973	ENSDARG00000053452	pop5
ENSP00000350102	ENSG00000198113	TOR4A	ENSDARP00000154509	ENSDARG00000037843	tor4aa
ENSP00000350132	ENSG00000198523	PLN	ENSDARP00000127887	ENSDARG00000097256	si:ch211-270g19.5
ENSP00000350162	ENSG00000196074	SYCP2	ENSDARP00000114083	ENSDARG00000088950	sycp2
ENSP00000350198	ENSG00000180616	SSTR2	ENSDARP00000076547	ENSDARG00000059090	sstr2a
ENSP00000350249	ENSG00000128513	POT1	ENSDARP00000102969	ENSDARG00000079915	pot1
ENSP00000350256	ENSG00000173585	CCR9	ENSDARP00000071978	ENSDARG00000055186	ccr9a
ENSP00000350260	ENSG00000178761	FAM219B	ENSDARP00000151781	ENSDARG00000104637	fam219b
ENSP00000350266	ENSG00000162777	DENND2D	ENSDARP00000122307	ENSDARG00000058666	dennd2da
ENSP00000350331	ENSG00000196372	ASB13	ENSDARP00000105139	ENSDARG00000089833	asb13b
ENSP00000350359	ENSG00000146592	CREB5	ENSDARP00000094406	ENSDARG00000070536	creb5b
ENSP00000350364	ENSG00000172260	NEGR1	ENSDARP00000038588	ENSDARG00000021607	negr1
ENSP00000350369	ENSG00000197063	MAFG	ENSDARP00000127969	ENSDARG00000018109	mafga
ENSP00000350402	ENSG00000114455	HHLA2	ENSDARP00000024420	ENSDARG00000004763	hhla2a.2
ENSP00000350425	ENSG00000110244	APOA4	ENSDARP00000111399	ENSDARG00000040298	apoa4b.1
ENSP00000350447	ENSG00000163535	SGO2	ENSDARP00000117553	ENSDARG00000092651	si:dkey-57a22.11
ENSP00000350512	ENSG00000121022	COPS5	ENSDARP00000074782	ENSDARG00000057624	cops5
ENSP00000350667	ENSG00000140416	TPM1	ENSDARP00000155971	ENSDARG00000087402	tpm1
ENSP00000350686	ENSG00000176915	ANKLE2	ENSDARP00000117092	ENSDARG00000035607	ankle2
ENSP00000350698	ENSG00000213782	DDX47	ENSDARP00000132528	ENSDARG00000102353	ddx47
ENSP00000350699	ENSG00000164022	AIMP1	ENSDARP00000078619	ENSDARG00000060036	aimp1a
ENSP00000350704	ENSG00000116922	C1orf109	ENSDARP00000025246	ENSDARG00000012113	c19h1orf109
ENSP00000350708	ENSG00000119318	RAD23B	ENSDARP00000145115	ENSDARG00000021550	rad23b
ENSP00000350785	ENSG00000196730	DAPK1	ENSDARP00000156059	ENSDARG00000060093	dapk1
ENSP00000350874	ENSG00000197006	METTL9	ENSDARP00000107001	ENSDARG00000060001	mettl9
ENSP00000350881	ENSG00000178075	GRAMD1C	ENSDARP00000129043	ENSDARG00000076238	gramd1c
ENSP00000350937	ENSG00000135269	TES	ENSDARP00000068054	ENSDARG00000051857	tes
ENSP00000350961	ENSG00000137038	DMAC1	ENSDARP00000122244	ENSDARG00000092787	si:dkey-88p24.11
ENSP00000351040	ENSG00000196227	FAM217B	ENSDARP00000107667	ENSDARG00000091799	si:ch211-266k22.6
ENSP00000351052	ENSG00000091732	ZC3HC1	ENSDARP00000085270	ENSDARG00000062651	zc3hc1
ENSP00000351075	ENSG00000099994	SUSD2	ENSDARP00000141875	ENSDARG00000101452	SUSD2
ENSP00000351100	ENSG00000120314	WDR55	ENSDARP00000018714	ENSDARG00000007217	wdr55
ENSP00000351108	ENSG00000197451	HNRNPAB	ENSDARP00000137921	ENSDARG00000099865	hnrnpabb
ENSP00000351137	ENSG00000076924	XAB2	ENSDARP00000010070	ENSDARG00000007092	xab2
ENSP00000351138	ENSG00000148343	MIGA2	ENSDARP00000109341	ENSDARG00000089357	miga2
ENSP00000351141	ENSG00000146457	WTAP	ENSDARP00000062551	ENSDARG00000042642	wtap
ENSP00000351147	ENSG00000119599	DCAF4	ENSDARP00000149987	ENSDARG00000110654	wdr21
ENSP00000351157	ENSG00000113621	TXNDC15	ENSDARP00000004133	ENSDARG00000110357	txndc15
ENSP00000351206	ENSG00000164440	TXLNB	ENSDARP00000115010	ENSDARG00000020594	txlnba
ENSP00000351258	ENSG00000125375	DMAC2L	ENSDARP00000014390	ENSDARG00000012072	dmac2l
ENSP00000351273	ENSG00000064012	CASP8	ENSDARP00000095527	ENSDARG00000058325	casp8
ENSP00000351284	ENSG00000002016	RAD52	ENSDARP00000073469	ENSDARG00000005274	rad52
ENSP00000351328	ENSG00000164002	EXO5	ENSDARP00000105428	ENSDARG00000042727	exo5
ENSP00000351342	ENSG00000110786	PTPN5	ENSDARP00000100744	ENSDARG00000074866	ptpn5
ENSP00000351345	ENSG00000196711	ALKAL1	ENSDARP00000099961	ENSDARG00000074387	alkal1
ENSP00000351346	ENSG00000132549	VPS13B	ENSDARP00000141313	ENSDARG00000100043	CABZ01111454.1
ENSP00000351422	ENSG00000006015	REX1BD	ENSDARP00000102057	ENSDARG00000073867	rex1bd
ENSP00000351475	ENSG00000115687	PASK	ENSDARP00000129270	ENSDARG00000075008	pask
ENSP00000351490	ENSG00000125952	MAX	ENSDARP00000111552	ENSDARG00000024844	max
ENSP00000351509	ENSG00000151348	EXT2	ENSDARP00000073621	ENSDARG00000056648	ext2
ENSP00000351536	ENSG00000165661	QSOX2	ENSDARP00000102457	ENSDARG00000077174	qsox2
ENSP00000351539	ENSG00000179456	ZBTB18	ENSDARP00000141791	ENSDARG00000028228	zbtb18
ENSP00000351631	ENSG00000077458	FAM76B	ENSDARP00000026447	ENSDARG00000012432	fam76b
ENSP00000351646	ENSG00000168439	STIP1	ENSDARP00000100503	ENSDARG00000004906	stip1
ENSP00000351686	ENSG00000170325	PRDM10	ENSDARP00000131406	ENSDARG00000104251	prdm10
ENSP00000351734	ENSG00000089091	DZANK1	ENSDARP00000072635	ENSDARG00000055787	dzank1
ENSP00000351740	ENSG00000197712	FAM114A1	ENSDARP00000076500	ENSDARG00000008287	fam114a1
ENSP00000351742	ENSG00000112561	TFEB	ENSDARP00000156744	ENSDARG00000010794	tfeb
ENSP00000351813	ENSG00000198060	MARCHF5	ENSDARP00000043068	ENSDARG00000032552	march5
ENSP00000351832	ENSG00000118873	RAB3GAP2	ENSDARP00000126559	ENSDARG00000044136	rab3gap2
ENSP00000351899	ENSG00000134258	VTCN1	ENSDARP00000101000	ENSDARG00000078643	vtcn1
ENSP00000351922	ENSG00000127914	AKAP9	ENSDARP00000099073	ENSDARG00000079610	akap9
ENSP00000351929	ENSG00000198546	ZNF511	ENSDARP00000001399	ENSDARG00000000760	znf511
ENSP00000352091	ENSG00000110713	NUP98	ENSDARP00000110413	ENSDARG00000074955	nup98
ENSP00000352167	ENSG00000197119	SLC25A29	ENSDARP00000077862	ENSDARG00000057352	slc25a29
ENSP00000352172	ENSG00000176834	VSIG10	ENSDARP00000133069	ENSDARG00000058605	vsig10
ENSP00000352216	ENSG00000197496	SLC2A10	ENSDARP00000130266	ENSDARG00000090820	slc2a10
ENSP00000352219	ENSG00000074582	BCS1L	ENSDARP00000015141	ENSDARG00000012295	bcs1l
ENSP00000352264	ENSG00000198087	CD2AP	ENSDARP00000093386	ENSDARG00000015224	cd2ap
ENSP00000352265	ENSG00000141933	TPGS1	ENSDARP00000119130	ENSDARG00000027547	TPGS1
ENSP00000352271	ENSG00000196584	XRCC2	ENSDARP00000019152	ENSDARG00000013933	XRCC2
ENSP00000352276	ENSG00000000460	C1orf112	ENSDARP00000061728	ENSDARG00000042120	
ENSP00000352314	ENSG00000197705	KLHL14	ENSDARP00000121232	ENSDARG00000045275	klhl14
ENSP00000352400	ENSG00000126883	NUP214	ENSDARP00000102382	ENSDARG00000016212	nup214
ENSP00000352414	ENSG00000158815	FGF17	ENSDARP00000137629	ENSDARG00000102778	fgf17
ENSP00000352447	ENSG00000182795	C1orf116	ENSDARP00000119213	ENSDARG00000074827	si:ch73-184c24.1
ENSP00000352510	ENSG00000196663	TECPR2	ENSDARP00000121461	ENSDARG00000060835	tecpr2
ENSP00000352513	ENSG00000197965	MPZL1	ENSDARP00000113484	ENSDARG00000059048	mpzl1l
ENSP00000352522	ENSG00000047249	ATP6V1H	ENSDARP00000113453	ENSDARG00000006370	atp6v1h
ENSP00000352527	ENSG00000164626	KCNK5	ENSDARP00000146340	ENSDARG00000111204	kcnk5a
ENSP00000352536	ENSG00000115207	GTF3C2	ENSDARP00000008672	ENSDARG00000004574	gtf3c2
ENSP00000352540	ENSG00000213853	EMP2	ENSDARP00000065494	ENSDARG00000044588	emp2
ENSP00000352544	ENSG00000145920	CPLX2	ENSDARP00000137988	ENSDARG00000061918	cplx2
ENSP00000352565	ENSG00000164107	HAND2	ENSDARP00000022921	ENSDARG00000008305	hand2
ENSP00000352572	ENSG00000160299	PCNT	ENSDARP00000125930	ENSDARG00000033012	pcnt
ENSP00000352601	ENSG00000197324	LRP10	ENSDARP00000071206	ENSDARG00000054539	lrp10
ENSP00000352639	ENSG00000142615	CELA2A	ENSDARP00000014849	ENSDARG00000007276	ela3l
ENSP00000352673	ENSG00000163435	ELF3	ENSDARP00000124484	ENSDARG00000077982	elf3
ENSP00000352706	ENSG00000198130	HIBCH	ENSDARP00000118435	ENSDARG00000054867	hibch
